Vessel,Task,Wharf,Time
V11,Charging,CQ2,05:40-05:45
V14,Crew Break,CQ2,05:40-06:10
V11,F5 - Neutral Bay,CQ2,05:45-05:46
V15,Charging,CQ2,05:55-06:00
V2,Charging,CQ2,06:00-06:05
V15,Charging,CQ2,06:05-06:10
V1,Charging,CQ2,06:10-06:15
V5,F5 - Neutral Bay,CQ2,06:15-06:16
V1,Crew Break,CQ2,06:15-06:45
V17,Charging,CQ2,06:40-06:45
V1,F5 - Neutral Bay,CQ2,06:45-06:46
V6,F7 - Double Bay,CQ2,06:52-06:55
V12,F4 - Pyrmont Bay,CQ2,07:05-07:08
V6,Charging,CQ2,07:05-07:10
V12,Charging,CQ2,07:10-07:15
V1,F5 - Neutral Bay,CQ2,07:15-07:16
V3,Charging,CQ2,07:20-07:25
V9,Charging,CQ2,07:25-07:30
V11,F8 - Cockatoo Island,CQ2,07:29-07:32
V13,Charging,CQ2,07:30-07:35
V2,Charging,CQ2,07:40-07:45
V2,F5 - Neutral Bay,CQ2,07:45-07:46
V14,F4 - Pyrmont Bay,CQ2,07:45-07:48
V7,F8 - Cockatoo Island,CQ2,07:59-08:02
V15,F4 - Pyrmont Bay,CQ2,08:05-08:08
V9,Charging,CQ2,08:10-08:15
V2,F5 - Neutral Bay,CQ2,08:15-08:16
V6,F8 - Cockatoo Island,CQ2,08:29-08:32
V5,Charging,CQ2,08:30-08:35
V6,Charging,CQ2,08:35-08:40
V1,Charging,CQ2,08:40-08:45
V6,Charging,CQ2,08:40-08:45
V6,F5 - Neutral Bay,CQ2,08:45-08:46
V1,Charging,CQ2,08:45-08:50
V1,Charging,CQ2,08:50-08:55
V4,F8 - Cockatoo Island,CQ2,08:59-09:02
V9,Charging,CQ2,09:00-09:05
V4,Charging,CQ2,09:05-09:10
V4,Charging,CQ2,09:10-09:15
V9,Charging,CQ2,09:10-09:15
V9,F5 - Neutral Bay,CQ2,09:15-09:16
V5,F7 - Double Bay,CQ2,09:22-09:25
V2,Charging,CQ2,09:25-09:30
V13,Charging,CQ2,09:30-09:35
V3,Charging,CQ2,09:35-09:40
V13,Charging,CQ2,09:35-09:40
V3,Charging,CQ2,09:40-09:45
V3,F5 - Neutral Bay,CQ2,09:45-09:46
V7,F7 - Double Bay,CQ2,09:52-09:55
V7,Crew Break,CQ2,09:55-10:25
V14,Charging,CQ2,10:10-10:15
V11,F2 - Taronga Zoo (off peak),CQ2,10:21-10:25
V6,F8 - Cockatoo Island,CQ2,10:29-10:32
V2,Charging,CQ2,10:40-10:45
V4,F6 - Mosman (off peak),CQ2,10:46-10:49
V17,Crew Break,CQ2,10:50-11:20
V3,Charging,CQ2,10:55-11:00
V13,F9 - Watsons Bay,CQ2,11:03-11:07
V13,Charging,CQ2,11:10-11:15
V13,Charging,CQ2,11:15-11:20
V13,Charging,CQ2,11:20-11:25
V7,Charging,CQ2,11:20-11:25
V13,Charging,CQ2,11:25-11:30
V11,Charging,CQ2,11:25-11:30
