Vessel,Task,Wharf,Time
V12,F4 - Pyrmont Bay,PB1,06:28-06:38
V13,F4 - Pyrmont Bay,PB1,06:48-06:58
V14,F4 - Pyrmont Bay,PB1,07:08-07:18
V16,F4 - Pyrmont Bay,PB1,07:28-07:38
V15,F4 - Pyrmont Bay,PB1,07:48-07:58
V17,F4 - Pyrmont Bay,PB1,08:08-08:18
V12,F4 - Pyrmont Bay,PB1,08:28-08:38
V13,F4 - Pyrmont Bay,PB1,08:48-08:58
V14,F4 - Pyrmont Bay,PB1,09:08-09:18
V16,F4 - Pyrmont Bay,PB1,09:38-09:48
V17,Waiting,PB1,10:05-10:10
V15,F4 - Pyrmont Bay,PB1,10:08-10:18
V14,Waiting,PB1,11:15-11:20
V10,Waiting,PB1,11:25-11:30
