Time,Station,Wharf
06:25,Barangaroo,Bar2
06:47,Blackwattle Bay,BWB1
07:18,Barangaroo,Bar1
06:55,Barangaroo,Bar2
07:17,Blackwattle Bay,BWB1
07:48,Barangaroo,Bar5
07:25,Barangaroo,Bar2
07:47,Blackwattle Bay,BWB1
08:18,Barangaroo,Bar1
07:55,Barangaroo,Bar2
08:17,Blackwattle Bay,BWB1
08:48,Barangaroo,Bar1
08:25,Barangaroo,Bar2
08:47,Blackwattle Bay,BWB1
09:18,Barangaroo,Bar1
08:55,Barangaroo,Bar2
09:17,Blackwattle Bay,BWB1
09:48,Barangaroo,Bar5
09:25,Barangaroo,Bar2
09:47,Blackwattle Bay,BWB1
10:18,Barangaroo,Bar4
