Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9697
Rebalancing,05:40,0.9394
CQ1,05:45,0.9394
CQ1,05:50,0.9394
CQ1,05:55,0.9394
CQ1,06:00,0.9394
2 cont.,06:05,0.9284
2 cont.,06:10,0.9174
2 cont.,06:15,0.9064
2 cont.,06:20,0.8954
2 cont.,06:25,0.8844
2 cont.,06:30,0.8734
2 cont.,06:35,0.8623999999999999
2 cont.,06:40,0.8513999999999999
2 cont.,06:45,0.8403999999999999
2 cont.,06:50,0.8293999999999999
2 cont.,06:55,0.8183999999999999
2 cont.,07:00,0.8073999999999999
2 cont.,07:05,0.7963999999999999
2 cont.,07:10,0.7853999999999999
phi_CQ4,07:15,0.9133999999999999
7 cont.,07:20,0.8933999999999999
7 cont.,07:25,0.8733999999999998
7 cont.,07:30,0.8533999999999998
7 cont.,07:35,0.8333999999999998
7 cont.,07:40,0.8133999999999998
7 cont.,07:45,0.7933999999999998
7 cont.,07:50,0.7733999999999998
7 cont.,07:55,0.7533999999999997
7 cont.,08:00,0.7333999999999997
2 cont.,08:05,0.7223999999999997
2 cont.,08:10,0.7113999999999997
2 cont.,08:15,0.7003999999999997
2 cont.,08:20,0.6893999999999997
2 cont.,08:25,0.6783999999999997
2 cont.,08:30,0.6673999999999997
2 cont.,08:35,0.6563999999999997
2 cont.,08:40,0.6453999999999996
2 cont.,08:45,0.6343999999999996
2 cont.,08:50,0.6233999999999996
2 cont.,08:55,0.6123999999999996
2 cont.,09:00,0.6013999999999996
2 cont.,09:05,0.5903999999999996
2 cont.,09:10,0.5793999999999996
phi_CQ2,09:15,0.7073999999999996
phi_CQ2,09:20,0.8353999999999996
phi_CQ2,09:25,0.9633999999999996
8 cont.,09:30,0.9293999999999996
8 cont.,09:35,0.8953999999999995
8 cont.,09:40,0.8613999999999995
8 cont.,09:45,0.8273999999999995
8 cont.,09:50,0.7933999999999994
8 cont.,09:55,0.7593999999999994
8 cont.,10:00,0.7253999999999994
8 cont.,10:05,0.6913999999999993
8 cont.,10:10,0.6573999999999993
8 cont.,10:15,0.6233999999999993
8 cont.,10:20,0.5893999999999993
8 cont.,10:25,0.5553999999999992
8 cont.,10:30,0.5213999999999992
phi_CQ5,10:35,0.6493999999999992
Rebalancing,10:40,0.6190999999999992
Rebalancing,10:45,0.5887999999999992
cp_Bar5 cont.,10:50,0.5887999999999992
cp_Bar5 cont.,10:55,0.5887999999999992
cp_Bar5 cont.,11:00,0.5887999999999992
cp_Bar5 cont.,11:05,0.5887999999999992
cp_Bar5 cont.,11:10,0.5887999999999992
cp_Bar5 cont.,11:15,0.5887999999999992
phi_Bar1,11:20,0.7167999999999992
phi_Bar1,11:25,0.8447999999999992
phi_Bar1,11:30,0.9727999999999992
