Time,Station,Wharf
05:50,Circular Quay,CQ1
06:04,Neutral Bay,NB1
06:17,Circular Quay,CQ4
06:20,Circular Quay,CQ1
06:34,Neutral Bay,NB1
06:47,Circular Quay,CQ2
06:50,Circular Quay,CQ1
07:04,Neutral Bay,NB1
07:17,Circular Quay,CQ5
07:20,Circular Quay,CQ1
07:34,Neutral Bay,NB1
07:47,Circular Quay,CQ5
07:50,Circular Quay,CQ1
08:04,Neutral Bay,NB1
08:17,Circular Quay,CQ2
08:20,Circular Quay,CQ1
08:34,Neutral Bay,NB1
08:47,Circular Quay,CQ1
08:50,Circular Quay,CQ1
09:04,Neutral Bay,NB1
09:17,Circular Quay,CQ1
09:20,Circular Quay,CQ1
09:34,Neutral Bay,NB1
09:47,Circular Quay,CQ1
09:50,Circular Quay,CQ1
10:04,Neutral Bay,NB1
10:17,Circular Quay,CQ1
