Vessel,Task,Wharf,Time
V8,F8 - Cockatoo Island,CI1,06:50-06:55
V8,F8 - Cockatoo Island,CI1,06:55-07:00
V1,F8 - Cockatoo Island,CI1,07:20-07:25
V1,F8 - Cockatoo Island,CI1,07:25-07:30
V6,F8 - Cockatoo Island,CI1,07:50-07:55
V6,F8 - Cockatoo Island,CI1,07:55-08:00
V5,F8 - Cockatoo Island,CI1,08:20-08:25
V5,F8 - Cockatoo Island,CI1,08:25-08:30
V10,F8 - Cockatoo Island,CI1,08:50-08:55
V10,F8 - Cockatoo Island,CI1,08:55-09:00
V1,F8 - Cockatoo Island,CI1,09:20-09:25
V1,F8 - Cockatoo Island,CI1,09:25-09:30
V4,F8 - Cockatoo Island,CI1,09:50-09:55
V4,F8 - Cockatoo Island,CI1,09:55-10:00
V9,F8 - Cockatoo Island,CI1,10:20-10:25
V9,F8 - Cockatoo Island,CI1,10:25-10:30
