Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9697
cp_Bar2 cont.,05:40,0.9697
cp_Bar2 cont.,05:45,0.9697
cp_Bar2 cont.,05:50,0.9697
cp_Bar2 cont.,05:55,0.9697
cp_Bar2 cont.,06:00,0.9697
cp_Bar2 cont.,06:05,0.9697
phi_Bar2,06:10,1.0
Rebalancing,06:15,0.9697
Rebalancing,06:20,0.9394
2 cont.,06:25,0.9284
2 cont.,06:30,0.9174
2 cont.,06:35,0.9064
2 cont.,06:40,0.8954
2 cont.,06:45,0.8844
2 cont.,06:50,0.8734
2 cont.,06:55,0.8623999999999999
2 cont.,07:00,0.8513999999999999
2 cont.,07:05,0.8403999999999999
2 cont.,07:10,0.8293999999999999
2 cont.,07:15,0.8183999999999999
2 cont.,07:20,0.8073999999999999
2 cont.,07:25,0.7963999999999999
2 cont.,07:30,0.7853999999999999
phi_CQ5,07:35,0.9133999999999999
7 cont.,07:40,0.8933999999999999
7 cont.,07:45,0.8733999999999998
7 cont.,07:50,0.8533999999999998
7 cont.,07:55,0.8333999999999998
7 cont.,08:00,0.8133999999999998
7 cont.,08:05,0.7933999999999998
7 cont.,08:10,0.7733999999999998
7 cont.,08:15,0.7533999999999997
7 cont.,08:20,0.7333999999999997
2 cont.,08:25,0.7223999999999997
2 cont.,08:30,0.7113999999999997
2 cont.,08:35,0.7003999999999997
2 cont.,08:40,0.6893999999999997
2 cont.,08:45,0.6783999999999997
2 cont.,08:50,0.6673999999999997
2 cont.,08:55,0.6563999999999997
2 cont.,09:00,0.6453999999999996
2 cont.,09:05,0.6343999999999996
2 cont.,09:10,0.6233999999999996
2 cont.,09:15,0.6123999999999996
2 cont.,09:20,0.6013999999999996
2 cont.,09:25,0.5903999999999996
2 cont.,09:30,0.5793999999999996
phi_CQ2,09:35,0.7073999999999996
CQ2,09:40,0.8673999999999996
CQ2,09:45,1.0
CQ2,09:50,1.0
phi_CQ2,09:55,1.0
8 cont.,10:00,0.966
8 cont.,10:05,0.9319999999999999
8 cont.,10:10,0.8979999999999999
8 cont.,10:15,0.8639999999999999
8 cont.,10:20,0.8299999999999998
8 cont.,10:25,0.7959999999999998
8 cont.,10:30,0.7619999999999998
8 cont.,10:35,0.7279999999999998
8 cont.,10:40,0.6939999999999997
8 cont.,10:45,0.6599999999999997
8 cont.,10:50,0.6259999999999997
8 cont.,10:55,0.5919999999999996
8 cont.,11:00,0.5579999999999996
phi_CQ5,11:05,0.6859999999999996
phi_CQ5,11:10,0.8139999999999996
Rebalancing,11:15,0.7836999999999996
Rebalancing,11:20,0.7533999999999996
Rebalancing,11:25,0.7230999999999996
CI1,11:30,0.7230999999999996
